OTU	Size	full_tax	Phylum_order 	Phylum	Class	Order	Family	Genus
Otu0879	34	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Varibaculum100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum
Otu0899	32	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0904	32	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Alloscardovia100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
Otu0923	30	Bacteria100;Actinobacteria100;Actinobacteria100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu0938	29	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Paraeggerthella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Paraeggerthella
Otu0952	28	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Actinomyces100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu1046	23	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Micrococcaceae100;Rothia100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
Otu1112	20	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Micrococcaceae100;Rothia100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
Otu1152	18	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Mobiluncus100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus
Otu1183	17	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Corynebacteriaceae100;Corynebacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
Otu1235	15	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1266	15	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Olsenella94;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
Otu1310	14	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1410	12	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu1472	11	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Actinomyces100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu1548	10	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu1595	9	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu1598	9	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1610	9	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Gardnerella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
Otu1659	8	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Asaccharobacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
Otu1732	8	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Eggerthella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
Otu1757	7	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu1768	7	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu1820	7	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Corynebacteriaceae100;Corynebacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
Otu1849	7	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Asaccharobacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
Otu1899	6	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Pseudonocardiaceae100;Amycolatopsis100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis
Otu1901	6	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1903	6	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1986	6	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2045	6	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Eggerthella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
Otu2065	6	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2090	5	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2091	5	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2099	5	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Gordonibacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
Otu2103	5	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2166	5	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetales_unclassified100;Actinomycetales_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu2183	5	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetales_unclassified100;Actinomycetales_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu2184	5	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Actinomyces100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu2308	5	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2323	5	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium61;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu2326	5	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu2363	4	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Scardovia100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia
Otu2371	4	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu2470	4	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Olsenella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
Otu2609	4	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Micrococcaceae100;Kocuria100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria
Otu2621	4	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Actinomyces100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu2629	4	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetales_unclassified100;Actinomycetales_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu2650	4	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Asaccharobacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Asaccharobacter
Otu2679	4	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2682	4	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Atopobium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium
Otu2777	3	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2886	3	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2891	3	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu2947	3	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2960	3	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu3047	3	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetales_unclassified100;Actinomycetales_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu3159	3	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3165	3	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3166	3	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3168	3	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3181	3	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3540	2	Bacteria100;Actinobacteria100;Actinobacteria100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu3664	2	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Micrococcaceae100;Micrococcaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcaceae_unclassified
Otu3768	2	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetales_unclassified100;Actinomycetales_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
